province,district,total_population,total_households,displaced_individuals,displaced_households,monthly_income_pkr,family_size,house_condition,distance_from_relief_center_km,previous_flood_damage,access_to_clean_water,livestock_lost,crops_damaged,children_under_age_5,disabled_family_members,displacement_ratio,flood_risk_level,aid_needed
KPK,Swat,2420.0,220.0,120.0,20.0,19294,3,1,78,1,1,0,1,0,0,0.049586776859504134,1,0
KPK,Lower Kohistan,560.0,52.0,0.0,0.0,12831,9,2,15,1,0,1,0,1,0,0.0,1,0
KPK,Lower Kohistan,506.0,48.0,0.0,0.0,15581,3,3,69,0,0,0,1,0,0,0.0,1,0
KPK,Lower Kohistan,715.0,61.0,0.0,0.0,16926,10,3,39,1,1,0,0,0,1,0.0,1,0
KPK,Lower Kohistan,1408.0,102.0,0.0,0.0,13363,5,1,34,1,1,1,1,0,0,0.0,1,0
KPK,Lower Kohistan,1255.0,93.0,0.0,0.0,16444,10,1,43,0,1,0,1,0,0,0.0,1,0
KPK,Lower Kohistan,3510.0,275.0,0.0,0.0,15489,10,2,66,1,0,1,1,1,0,0.0,1,0
KPK,Lower Kohistan,3310.0,264.0,0.0,0.0,10596,7,4,45,0,1,1,0,1,0,0.0,1,0
KPK,Upper Kohistan,720.0,108.0,0.0,0.0,16377,5,1,97,1,1,0,0,1,0,0.0,1,0
KPK,Upper Kohistan,270.0,21.0,12.0,2.0,11699,11,2,27,0,1,1,0,1,0,0.044444444444444446,1,0
KPK,Lower Kohistan,1485.0,146.0,0.0,0.0,17817,3,3,67,0,0,0,1,0,0,0.0,1,0
KPK,Lower Kohistan,1255.0,93.0,0.0,0.0,12986,3,3,62,1,1,1,0,0,0,0.0,1,0
KPK,Lower Kohistan,1310.0,93.0,0.0,0.0,14516,4,2,64,1,1,1,1,0,0,0.0,1,0
KPK,Lower Kohistan,2110.0,143.0,0.0,0.0,19116,8,1,2,1,1,1,0,1,0,0.0,1,0
KPK,Lower Kohistan,1670.0,150.0,0.0,0.0,16489,4,2,28,1,1,0,1,0,0,0.0,1,0
KPK,Upper Kohistan,200.0,31.0,0.0,0.0,11761,6,2,94,1,1,0,0,0,0,0.0,1,0
KPK,Lower Kohistan,2260.0,152.0,0.0,0.0,11955,8,1,41,0,1,0,0,0,0,0.0,1,0
KPK,Lower Kohistan,2510.0,170.0,0.0,0.0,13202,4,4,87,1,0,1,1,1,0,0.0,1,0
KPK,Lower Kohistan,1460.0,105.0,0.0,0.0,16183,6,4,97,1,1,0,1,1,0,0.0,1,0
KPK,Lower Kohistan,1360.0,99.0,0.0,0.0,16074,9,4,52,1,0,1,0,1,0,0.0,1,0
KPK,Lower Kohistan,2650.0,225.0,0.0,0.0,12470,3,2,14,1,1,1,1,1,0,0.0,1,0
KPK,Lower Kohistan,1750.0,122.0,0.0,0.0,11498,11,1,61,1,0,0,0,0,1,0.0,1,0
KPK,Lower Kohistan,278.0,40.0,0.0,0.0,15844,9,4,78,1,1,1,0,1,0,0.0,1,0
KPK,Lower Kohistan,2710.0,228.0,0.0,0.0,14454,11,1,50,1,1,0,0,1,0,0.0,1,0
KPK,Swat,2775.0,309.0,55.0,6.0,21471,9,4,13,0,0,1,1,1,0,0.01981981981981982,1,0
KPK,Swat,6572.0,658.0,0.0,0.0,15109,3,3,68,1,0,1,1,1,0,0.0,1,0
KPK,Swat,6102.0,663.0,0.0,0.0,20442,9,3,19,1,0,1,1,0,0,0.0,1,0
KPK,Lower Kohistan,1560.0,111.0,0.0,0.0,11488,11,1,88,1,0,1,0,1,0,0.0,1,0
KPK,Lower Kohistan,960.0,75.0,0.0,0.0,10280,10,4,36,1,0,0,1,1,0,0.0,1,0
